cincinnati,neighborhood,fips_tract_id
0,Green Twp.,39061021002
0,Green Twp.,39061021003
0,Green Twp.,39061021101
0,Green Twp.,39061021102
0,Green Twp.,39061021201
0,Green Twp.,39061021202
0,Delhi Twp.,39061021302
0,Delhi Twp.,39061021303
0,Delhi Twp.,39061021304
0,Delhi Twp.,39061021401
0,Delhi Twp.,39061021421
0,Delhi Twp.,39061021422
0,Springdale,39061021501
0,Forest Park,39061021504
0,Forest Park,39061021505
0,Forest Park,39061021506
0,Springfield Twp.,39061021508
0,Springfield Twp.,39061021509
0,Forest Park,39061021571
0,Forest Park,39061021572
0,Springfield Twp.,39061021602
0,Springfield Twp.,39061021603
0,Colerain Twp.,39061021604
0,Mt. Healthy,39061021701
0,Mt. Healthy,39061021702
0,N. College Hill,39061021801
0,N. College Hill,39061021802
0,Springfield Twp.,39061021900
0,Greenhills,39061022000
0,Springfield Twp.,39061022101
0,Springfield Twp.,39061022102
0,Springfield Twp.,39061022200
0,Springdale,39061022301
0,Sycamore Twp.,39061022302
0,Glendale,39061022400
0,Woodlawn,39061022500
0,Wyoming,39061022601
0,Wyoming,39061022602
0,Lincoln Hts.,39061022700
0,Sharonville,39061023001
0,Sharonville,39061023002
0,Evendale,39061023100
0,Reading,39061023201
0,Reading,39061023210
0,Reading,39061023222
0,Amberley,39061023300
0,Golf Manor,39061023400
0,Blue Ash,39061023501
0,Blue Ash,39061023521
0,Blue Ash,39061023522
0,Sycamore Twp.,39061023600
0,Deer Park,39061023701
0,Deer Park,39061023702
0,Silverton,39061023800
0,Montgomery,39061023901
0,Montgomery,39061023902
0,Sycamore Twp.,39061024001
0,Sycamore Twp.,39061024002
0,Madeira,39061024100
0,Madeira,39061024200
0,Symmes Twp.,39061024301
0,Loveland,39061024303
0,Symmes Twp.,39061024321
0,Symmes Twp.,39061024322
0,Indian Hill,39061024400
0,Fairfax,39061024700
0,Mariemont,39061024800
0,Anderson Twp.-Newtown,39061024901
0,Anderson Twp.-Newtown,39061024902
0,Anderson Twp.-Newtown,39061025001
0,Anderson Twp.-Newtown,39061025002
0,Anderson Twp.-Newtown,39061025101
0,Anderson Twp.-Newtown,39061025102
0,Anderson Twp.-Newtown,39061025103
0,Anderson Twp.-Newtown,39061025104
0,Norwood,39061025200
0,Norwood,39061025300
0,Norwood,39061025401
0,Norwood,39061025402
0,Norwood,39061025500
0,Norwood,39061025600
0,Elmwood,39061025700
0,St. Bernard,39061025800
0,Harrison,39061026001
0,Crosby Twp.,39061026002
0,Harrison,39061026101
0,Whitewater Twp.,39061026102
0,Whitewater Twp.,39061026200
1,Lower Price Hill-Queensgate,39061026300
1,West End,39061026400
1,Downtown,39061026500
1,East End-Linwood,39061026600
1,Walnut Hills,39061026700
1,Mt. Adams,39061026800
1,West End,39061026900
1,Avondale,39061027000
1,Roselawn,39061027100
1,S. Fairmount,39061027200
0,Terrace Park,39061027300
0,Lockland,39061027400
